yearID,lgID,teamID,franchID,divID,Rank,Ghome,DivWin,WCWin,LgWin,WSWin,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
1871,NA,BS1,BNA,,3,,,,N,,Boston Red Stockings,South End Grounds I,,103,98,BOS,BS1,BS1
1871,NA,CH1,CNA,,2,,,,N,,Chicago White Stockings,Union Base-Ball Grounds,,104,102,CHI,CH1,CH1
1871,NA,CL1,CFC,,8,,,,N,,Cleveland Forest Citys,National Association Grounds,,96,100,CLE,CL1,CL1
1871,NA,FW1,KEK,,7,,,,N,,Fort Wayne Kekiongas,Hamilton Field,,101,107,KEK,FW1,FW1
1871,NA,NY2,NNA,,5,,,,N,,New York Mutuals,Union Grounds (Brooklyn),,90,88,NYU,NY2,NY2
1871,NA,PH1,PNA,,1,,,,Y,,Philadelphia Athletics,Jefferson Street Grounds,,102,98,ATH,PH1,PH1
1871,NA,RC1,ROK,,9,,,,N,,Rockford Forest Citys,Agricultural Society Fair Grounds,,97,99,ROK,RC1,RC1
1871,NA,TRO,TRO,,6,,,,N,,Troy Haymakers,Haymakers' Grounds,,101,100,TRO,TRO,TRO
1871,NA,WS3,OLY,,4,,,,N,,Washington Olympics,Olympics Grounds,,94,98,OLY,WS3,WS3
1872,NA,BL1,BLC,,2,,,,N,,Baltimore Canaries,Newington Park,,106,102,BAL,BL1,BL1
1872,NA,BR1,ECK,,9,,,,N,,Brooklyn Eckfords,Union Grounds,,87,96,ECK,BR1,BR1
1872,NA,BR2,BRA,,6,,,,N,,Brooklyn Atlantics,Capitoline Grounds,,115,122,BRA,BR2,BR2
1872,NA,BS1,BNA,,1,,,,Y,,Boston Red Stockings,South End Grounds I,,105,100,BOS,BS1,BS1
1872,NA,CL1,CFC,,7,,,,N,,Cleveland Forest Citys,National Association Grounds,,96,100,CLE,CL1,CL1
1872,NA,MID,MAN,,8,,,,N,,Middletown Mansfields,Mansfield Club Grounds,,98,103,MAN,MID,MID
1872,NA,NY2,NNA,,3,,,,N,,New York Mutuals,Union Grounds (Brooklyn),,93,92,NYU,NY2,NY2
1872,NA,PH1,PNA,,4,,,,N,,Philadelphia Athletics,Jefferson Street Grounds,,102,100,ATH,PH1,PH1
1872,NA,TRO,TRO,,5,,,,N,,Troy Haymakers,Haymakers' Grounds,,101,100,TRO,TRO,TRO
1872,NA,WS3,OLY,,10,,,,N,,Washington Olympics,Olympics Grounds,,94,98,OLY,WS3,WS3
1872,NA,WS4,NAT,,11,,,,N,,Washington Nationals,Nationals Grounds,,129,141,NAT,WS4,WS4
1873,NA,BL1,BLC,,3,,,,N,,Baltimore Canaries,Newington Park,,101,102,BAL,BL1,BL1
1873,NA,BL4,MAR,,9,,,,N,,Baltimore Marylands,Newington Park,,77,99,MAR,BL4,BL4
1873,NA,BR2,BRA,,6,,,,N,,Brooklyn Atlantics,Union Grounds,,90,94,BRA,BR2,BR2
1873,NA,BS1,BNA,,1,,,,Y,,Boston Red Stockings,South End Grounds I,,106,100,BOS,BS1,BS1
1873,NA,ELI,RES,,8,,,,N,,Elizabeth Resolutes,Waverly Fairgrounds,,92,103,RES,ELI,ELI
1873,NA,NY2,NNA,,4,,,,N,,New York Mutuals,Union Grounds (Brooklyn),,98,96,NYU,NY2,NY2
1873,NA,PH1,PNA,,5,,,,N,,Philadelphia Athletics,Jefferson Street Grounds,,108,105,ATH,PH1,PH1
1873,NA,PH2,PWS,,2,,,,N,,Philadelphia Whites,Jefferson Street Grounds,,103,101,PHI,PH2,PH2
1873,NA,WS5,WBL,,7,,,,N,,Washington Blue Legs,Olympics Grounds,,96,102,WAS,WS5,WS5
1874,NA,BL1,BLC,,8,,,,N,,Baltimore Canaries,Newington Park,,102,104,BAL,BL1,BL1
1874,NA,BR2,BRA,,6,,,,N,,Brooklyn Atlantics,Union Grounds,,89,94,BRA,BR2,BR2
1874,NA,BS1,BNA,,1,,,,Y,,Boston Red Stockings,South End Grounds I,,105,98,BOS,BS1,BS1
1874,NA,CH2,CNA,,5,,,,N,,Chicago White Stockings,23rd Street Grounds,,101,102,CHI,CH2,CH2
1874,NA,HR1,HNA,,7,,,,N,,Hartford Dark Blues,Hartford Ball Club Grounds,,106,106,HAR,HR1,HR1
1874,NA,NY2,NNA,,2,,,,N,,New York Mutuals,Union Grounds (Brooklyn),,103,102,NYU,NY2,NY2
1874,NA,PH1,PNA,,3,,,,N,,Philadelphia Athletics,Jefferson Street Grounds,,108,105,ATH,PH1,PH1
1874,NA,PH2,PWS,,4,,,,N,,Philadelphia Whites,Jefferson Street Grounds,,103,101,PHI,PH2,PH2
1875,NA,BR2,BRA,,11,,,,N,,Brooklyn Atlantics,Union Grounds,,88,94,BRA,BR2,BR2
1875,NA,BS1,BNA,,1,,,,Y,,Boston Red Stockings,South End Grounds I,,103,96,BOS,BS1,BS1
1875,NA,CH2,CNA,,6,,,,N,,Chicago White Stockings,23rd Street Grounds,,101,102,CHI,CH2,CH2
1875,NA,HR1,HNA,,3,,,,N,,Hartford Dark Blues,Hartford Ball Club Grounds,,107,105,HAR,HR1,HR1
1875,NA,KEO,WES,,13,,,,N,,Keokuk Westerns,Perry Park,,105,109,WES,KEO,KEO
1875,NA,NH1,NHV,,8,,,,N,,New Haven Elm Citys,Hamilton Park,,87,93,NHV,NH1,NH1
1875,NA,NY2,NNA,,6,,,,N,,New York Mutuals,Union Grounds (Brooklyn),,99,100,NYU,NY2,NY2
1875,NA,PH1,PNA,,2,,,,N,,Philadelphia Athletics,Jefferson Street Grounds,,107,106,ATH,PH1,PH1
1875,NA,PH2,PWS,,5,,,,N,,Philadelphia Whites,Jefferson Street Grounds,,104,102,PHI,PH2,PH2
1875,NA,PH3,CEN,,11,,,,N,,Philadelphia Centennials,Centennial Grounds,,92,98,CEN,PH3,PH3
1875,NA,SL1,SLR,,10,,,,N,,St. Louis Red Stockings,Red Stocking Baseball Park,,90,98,SLR,SL1,SL1
1875,NA,SL2,SNA,,4,,,,N,,St. Louis Brown Stockings,Grand Avenue Park,,89,86,STL,SL2,SL2
1875,NA,WS6,WNT,,9,,,,N,,Washington Nationals,Olympics Grounds,,96,106,WAS,WS6,WS6
1876,NL,BSN,ATL,,4,,,,N,,Boston Red Caps,South End Grounds I,,102,98,BSN,BSN,BSN
1876,NL,CHN,CHC,,1,,,,Y,,Chicago White Stockings,23rd Street Grounds,,112,106,CHC,CHN,CHN
1876,NL,CN1,CNR,,8,,,,N,,Cincinnati Reds,Avenue Grounds,,86,95,CIN,CN1,CN1
1876,NL,HAR,HAR,,2,,,,N,,Hartford Dark Blues,Hartford Ball Club Grounds,,110,106,HAR,HAR,HAR
1876,NL,LS1,LGR,,5,,,,N,,Louisville Grays,Louisville Baseball Park,,117,117,LOU,LS1,LS1
1876,NL,NY3,NYU,,6,,,,N,,New York Mutuals,Union Grounds (Brooklyn),,96,100,NYU,NY3,NY3
1876,NL,PHN,ATH,,7,,,,N,,Philadelphia Athletics,Jefferson Street Grounds,,104,104,ATH,PHN,PHN
1876,NL,SL3,SBS,,3,,,,N,,St. Louis Brown Stockings,Sportsman's Park I,,93,92,STL,SL3,SL3
1877,NL,BSN,ATL,,1,,,,Y,,Boston Red Caps,South End Grounds I,,104,100,BSN,BSN,BSN
1877,NL,CHN,CHC,,5,,,,N,,Chicago White Stockings,23rd Street Grounds,,112,106,CHC,CHN,CHN
1877,NL,CN1,CNR,,6,,,,N,,Cincinnati Reds,Avenue Grounds,,89,94,CIN,CN1,CN1
1877,NL,HAR,HAR,,3,,,,N,,Hartford Dark Blues,Union Grounds (Brooklyn),,90,87,HAR,HAR,HAR
1877,NL,LS1,LGR,,2,,,,N,,Louisville Grays,Louisville Baseball Park,,117,117,LOU,LS1,LS1
1877,NL,SL3,SBS,,4,,,,N,,St. Louis Brown Stockings,Sportsman's Park I,,95,93,STL,SL3,SL3
1878,NL,BSN,ATL,,1,,,,Y,,Boston Red Caps,South End Grounds I,,108,102,BSN,BSN,BSN
1878,NL,CHN,CHC,,4,,,,N,,Chicago White Stockings,Lake Front Park I,,106,105,CHC,CHN,CHN
1878,NL,CN1,CNR,,2,,,,N,,Cincinnati Reds,Avenue Grounds,,91,92,CIN,CN1,CN1
1878,NL,IN1,IBL,,5,,,,N,,Indianapolis Blues,South Street Park,,87,89,IND,IN1,IN1
1878,NL,ML2,MLG,,6,,,,N,,Milwaukee Grays,Eclipse Park II,,106,113,MLG,ML2,ML2
1878,NL,PRO,PRO,,3,,,,N,,Providence Grays,Messer Street Grounds,,100,96,PRO,PRO,PRO
1879,NL,BFN,BUF,,3,,,,N,,Buffalo Bisons,Riverside Park,,102,105,BUF,BFN,BFN
1879,NL,BSN,ATL,,2,,,,N,,Boston Red Caps,South End Grounds I,,102,100,BSN,BSN,BSN
1879,NL,CHN,CHC,,4,,,,N,,Chicago White Stockings,Lake Front Park I,,106,103,CHC,CHN,CHN
1879,NL,CL2,CBL,,6,,,,N,,Cleveland Blues,Kennard Street Park,,99,100,CLV,CL2,CL2
1879,NL,CN1,CNR,,5,,,,N,,Cincinnati Reds,Avenue Grounds,,95,94,CIN,CN1,CN1
